I9005,1,1366,3774
I7568,1,1145,41355
I2457,1,1693,88640
I2606,1,1358,19274
I0370,1,2115,68064
SUC004,2,1520,65118
ORC001,2,1102,65136
SUC003,2,1023,37294
ORC006,2,1230,75238
I1131,2,1024,75208
I4553,2,1584,65784
I9006,2,1100,8828
I7205,2,1302,36037
I2606,2,1637,74554
I5367,2,1145,16891
I2787,2,1396,75008
I7571,2,1196,75047
I5750,2,1187,46941
I2379,2,1242,27768
I0370,2,1553,63371
I0015,2,1316,26018
I0413,2,1412,28066
I5884,3,2280,67706
I4627,3,1022,40922
I5407,3,1699,60565
I1631,3,1801,38034
I9006,3,1120,11751
I4950,3,1171,41364
I1565,3,1048,67812
I0015,3,1069,37200
I0413,3,1286,66305
I0440,3,1007,68190
SEC006,4,1179,44189
I5402,4,1005,21656
I4435,4,1240,34160
I4628,4,1187,45899
I4111,4,1117,26101
I2529,4,2233,4351
I2521,4,1145,13267
I9006,4,1041,48043
I3875,4,1025,59471
I1382,4,1759,35118
I4303,4,1074,12636
I7572,4,1126,41658
I2377,4,1134,62905
I3269,4,1113,8556
I0108,4,1381,45750
I0015,4,1277,51887
SEC004,5,1222,55596
SEC006,5,1163,45867
I4550,5,1160,34157
I5411,5,1273,28901
I4070,5,1350,28311
I3269,5,1129,38451
I0015,5,1597,62720
I1581,5,1060,10915
SUC005,6,1218,20310
ORC003,6,1089,17093
SUA002,6,1104,57074
I5411,6,1188,19106
I2529,6,1231,48224
I1738,6,1424,36395
I5436,6,1247,14887
I1631,6,1058,48432
I9005,6,1567,36848
I9041,6,1396,55192
I6778,6,1043,17275
I7272,6,1101,14658
I5525,6,1363,15999
I7572,6,1047,18961
I7279,6,1313,15954
I2377,6,1025,15058
I1506,6,1142,20399
I0370,6,1709,7990
I0015,6,1924,33343
I0410,6,1311,22819
I1499,6,1043,29665
SUC009,7,1006,10947
I1736,7,1026,15569
I5436,7,1054,50776
I5427,7,1113,4545
I9006,7,1451,10228
I2606,7,1597,7490
I7279,7,1155,8827
I0410,7,1153,32859
I0374,7,1033,21490
SUA002,8,2689,35975
ORC009,8,1587,35011
I4434,8,1142,46313
I6561,8,1234,33804
I4552,8,1116,44562
I9006,8,1439,2373
I2618,8,1355,22673
I2606,8,1642,28221
I2379,8,1249,40046
I3269,8,1311,54643
I0108,8,1189,22483
I1300,8,1201,44622
SEC006,10,1553,12148
ORC009,10,1729,22364
I6561,10,1717,54595
I5884,10,1392,11466
I0070,10,1364,23757
I2606,10,1524,28740
I0011,10,3927,26671
I0410,10,1793,10025
SEC004,11,1060,17854
ISC001,11,1200,42693
I4435,11,1162,19106
I4111,11,1337,38976
I0070,11,1323,10595
I9005,11,1054,29559
I1382,11,4131,30890
I2462,11,1002,33623
I4196,11,1012,21354
I0015,11,1412,39977
I0410,11,1849,39902
I1736,12,1124,29263
I5072,12,1207,33129
I6561,12,2169,11016
I2431,12,1209,15986
I5436,12,1022,23047
I5407,12,1147,41019
I9006,12,1047,38113
I0059,12,1345,20189
I0413,12,2069,30437
I4628,13,1296,17193
I2606,13,1344,35131
I7627,13,1051,24740
I0410,13,1076,28840
I6561,14,1373,4454
I4627,14,1714,9233
I2606,14,1191,36522
I0410,14,1494,10418
SEC002,15,1622,21494
I6561,15,1060,18810
I1632,15,1107,26869
I0407,15,1771,22706
I5884,16,1157,25535
I0011,16,1094,19670
I4627,18,1025,10339
I0410,18,2044,9367
I0413,18,1043,3159
I0014,19,1098,4420
I3594,20,1584,8466
I0407,20,1088,7207
I2606,21,1689,1308
I0413,21,2322,3707
I0073,22,1429,9404
I1382,22,1129,0
I2606,22,1106,9580
