iid,coverage
Loschbour_published.DG,2.0
Loschbour_snpAD.DG,2.0
Stuttgart_published.DG,2.0
UstIshim_snpAD.DG,2.0
Ust_Ishim_published.DG,2.0
Vindija_snpAD.DG,2.0
Altai_published.DG,2.0
Altai_snpAD.DG,2.0
Goyet_final.SG,2.0
Les_Cottes_final.SG,2.0
SN-44.SG,2.0
Mezmaiskaya2_final.SG,2.0
Spy_final.SG,2.0
I1178,2.0
Mezmaiskaya1_final.SG,2.0
GoyetQ116-1_published,2.0
SN-13.SG,2.0
IPK13a.SG,2.0
I0308,2.0
IPK12.SG,2.0
I1357,2.0
ElMiron_d,2.0
A460.SG,2.0
I0041,2.0
I11974,2.0
Vestonice16,2.0
Andaman.SG,2.0
I8350,2.0
SN-11.SG,2.0
MA577.SG,2.0
Villabruna,2.0
Yaghan895.SG,2.0
Yaghan894.SG,2.0
I2521,2.0
La727.WGC,2.0
I8349,2.0
I0001,2.0
USR1.SG,2.0
CP22_published,2.0
Anzick.SG,2.0
FUT001,2.0
TAF010,2.0
CP25,2.0
I1131,2.0
SA5832.SG,2.0
Anzick_realigned.SG,2.0
IPY08b.SG,2.0
I1742,2.0
I2230,2.0
Lovelock4.SG,2.0
DA337.SG,2.0
Inuk.SG,2.0
I0309,2.0
I1752,2.0
I4626,2.0
CP19,2.0
I3443,2.0
I4303,2.0
MA1.SG,2.0
I5456,2.0
I0039,2.0
I4627,2.0
tem003.SG,2.0
I1753,2.0
DA336.SG,2.0
Sumidouro4.SG,2.0
I2606,2.0
I4916,2.0
CP8,2.0
I2551,2.0
Sunghir2.SG,2.0
Denisova_snpAD.DG,2.0
LAR001,2.0
Sunghir4.SG,2.0
IL3.SG,2.0
I0237,2.0
I9006,2.0
Sunghir3.SG,2.0
CUN008,2.0
CP23,2.0
Denisova_published.DG,2.0
I4068,2.0
AHUR_2064.SG,2.0
I0038,2.0
CP29,2.0
Botocudo17.SG,2.0
I0040,2.0
19651.SG,2.0
Botocudo15.SG,2.0
CT-01.SG,2.0
DA249.SG,2.0
Sumidouro6.SG,2.0
IAM.5,2.0
I9005,2.0
Sunghir1.SG,2.0
CK-13.SG,2.0
Sumidouro5.SG,2.0
I4435,2.0
Kretuonas4,2.0
Kretuonas2,2.0
